circuitstring,Parameters
"R1-[P2-R3,[L4,R5]-P6]","{'R1': 141.24023286281513, 'P2w': 2.27550393232863e-06, 'P2n': 0.4002444276409079, 'R3': 2753990.3122879867, 'L4': 9.778577835323835e-21, 'R5': 701831455.1908306, 'P6w': 1.8172983936370922e-06, 'P6n': 0.9549161213477311}"
"R1-[R2,P3-L4]","{'R1': 139.14713051318796, 'R2': 4629850.9504917, 'P3w': 1.986654421152103e-06, 'P3n': 0.9373079958117277, 'L4': 4.579783278040225e-21}"
"[P1,R2]-R3","{'P1w': 1.9866544192374376e-06, 'P1n': 0.9373079958368866, 'R2': 4629850.947915965, 'R3': 139.14713039828143}"
"[P1-R2,R3]","{'P1w': 484927320.11251205, 'P1n': 0.44034623449947685, 'R2': 887219866.7925464, 'R3': 3314225.1972695445}"
"[P1,R2]-R3","{'P1w': 1.9866544192050175e-06, 'P1n': 0.9373079958776939, 'R2': 4629850.945974767, 'R3': 139.14713045182972}"
"[P1,[P2,[P3,R4]-R5]]","{'P1w': 2.2470931177657914e-06, 'P1n': 0.8747660680781553, 'P2w': 2.2486024870650594e-07, 'P2n': 0.04271585608097053, 'P3w': 621204717.790723, 'P3n': 0.6782346043063376, 'R4': 972431198.4472005, 'R5': 999999999.9981668}"
"[P1,[R2,L3-P4]-P5-[R6,C7-L8]]","{'P1w': 2.253119804874191e-06, 'P1n': 0.8732442161667394, 'R2': 886290950.9438004, 'L3': 0.0017247658101483985, 'P4w': 963577070.6443596, 'P4n': 0.9537333539009033, 'P5w': 771124664.6998427, 'P5n': 0.5786848820344891, 'R6': 5186608.7587977685, 'C7': 1.8556739611778183e-08, 'L8': 0.009860087052335832}"
"[[P1-R2,P3-R4],R5]-P6","{'P1w': 1.9865350688205285e-06, 'P1n': 0.9373079857042024, 'R2': 139.15132003645394, 'P3w': 909028263.473151, 'P3n': 0.514126126545651, 'R4': 4654858.493910734, 'R5': 855755151.0284638, 'P6w': 169.737716285277, 'P6n': 0.9999812013190588}"
"P1-R2-L3-[P4,R5]","{'P1w': 3.060047776700008e-05, 'P1n': 0.8656672000491737, 'R2': 139.68410285230095, 'L3': 6.57215465719272e-20, 'P4w': 2.0355768962705954e-06, 'P4n': 0.9521824822248778, 'R5': 3756228.581116751}"
"[P1,R2]-R3","{'P1w': 1.986654419760615e-06, 'P1n': 0.9373079958762898, 'R2': 4629850.947445267, 'R3': 139.14713063525465}"
"[R1,P2-R3]","{'R1': 4629990.108511926, 'P2w': 1.986535012713702e-06, 'P2n': 0.9373079959207005, 'R3': 139.15131248288543}"
"[R1,P2-R3]","{'R1': 4629990.094984876, 'P2w': 1.9865350129568558e-06, 'P2n': 0.9373079956064556, 'R3': 139.15131231086707}"
